"ID","GAME_DATE","GAME_TIME","STADIUM","REMARKS","BOARDSE","AWAY_TEAM","AWAY_TEAM_SCORE","HOME_TEAM","HOME_TEAM_SCORE","VICTORY_TEAM","YEAR","MONTH","RECORD_TYPE","HIGHLIGHT_URL","HIGHLIGHT_THUMB"
2943,06/06/23,"14:00","잠실","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230606&gameId=20230606HHOB0&section=HIGHLIGHT","한화",1,"두산",4,"두산",2023,6,"경기일정","https://tv.naver.com/embed/36700469?autoPlay=true",""
2947,06/06/23,"17:00","대구","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230606&gameId=20230606NCSS0&section=HIGHLIGHT","NC",6,"삼성",9,"삼성",2023,6,"경기일정","https://tv.naver.com/embed/36705687?autoPlay=true",""
2948,07/06/23,"18:30","잠실","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230607&gameId=20230607HHOB0&section=HIGHLIGHT","한화",3,"두산",6,"두산",2023,6,"경기일정","https://tv.naver.com/embed/36750881?autoPlay=true",""
2951,07/06/23,"18:30","광주","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230607&gameId=20230607SKHT0&section=HIGHLIGHT","SSG",9,"KIA",8,"SSG",2023,6,"경기일정","https://tv.naver.com/embed/36751929?autoPlay=true",""
2955,08/06/23,"18:30","대구","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230608&gameId=20230608NCSS0&section=HIGHLIGHT","NC",7,"삼성",1,"NC",2023,6,"경기일정","https://tv.naver.com/embed/36791820?autoPlay=true",""
2958,09/06/23,"18:30","한밭","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230609&gameId=20230609LGHH0&section=HIGHLIGHT","LG",5,"한화",6,"한화",2023,6,"경기일정","https://tv.naver.com/embed/36832126?autoPlay=true",""
2959,09/06/23,"18:30","잠실","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230609&gameId=20230609HTOB0&section=HIGHLIGHT","KIA",7,"두산",3,"KIA",2023,6,"경기일정","https://tv.naver.com/embed/36833163?autoPlay=true",""
2961,09/06/23,"18:30","창원","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230609&gameId=20230609SKNC0&section=HIGHLIGHT","SSG",2,"NC",5,"NC",2023,6,"경기일정","https://tv.naver.com/embed/36830905?autoPlay=true",""
2963,10/06/23,"17:00","한밭","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230610&gameId=20230610LGHH0&section=HIGHLIGHT","LG",0,"한화",7,"한화",2023,6,"경기일정","https://tv.naver.com/embed/36853777?autoPlay=true",""
2964,10/06/23,"17:00","잠실","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230610&gameId=20230610HTOB0&section=HIGHLIGHT","KIA",6,"두산",3,"KIA",2023,6,"경기일정","https://tv.naver.com/embed/36853605?autoPlay=true",""
2965,10/06/23,"17:00","대구","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230610&gameId=20230610LTSS0&section=HIGHLIGHT","롯데",7,"삼성",9,"삼성",2023,6,"경기일정","https://tv.naver.com/embed/36854222?autoPlay=true",""
2967,10/06/23,"17:00","수원","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230610&gameId=20230610WOKT0&section=HIGHLIGHT","키움",5,"KT",2,"키움",2023,6,"경기일정","https://tv.naver.com/embed/36853114?autoPlay=true",""
2968,11/06/23,"17:00","한밭","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230611&gameId=20230611LGHH0&section=HIGHLIGHT","LG",13,"한화",7,"LG",2023,6,"경기일정","https://tv.naver.com/embed/36877396?autoPlay=true",""
2970,11/06/23,"17:00","대구","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230611&gameId=20230611LTSS0&section=HIGHLIGHT","롯데",4,"삼성",6,"삼성",2023,6,"경기일정","https://tv.naver.com/embed/36877152?autoPlay=true",""
2971,11/06/23,"17:00","창원","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230611&gameId=20230611SKNC0&section=HIGHLIGHT","SSG",4,"NC",8,"NC",2023,6,"경기일정","https://tv.naver.com/embed/36876361?autoPlay=true",""
2973,13/06/23,"18:30","잠실","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230613&gameId=20230613SSLG0&section=HIGHLIGHT","삼성",1,"LG",2,"LG",2023,6,"경기일정","https://tv.naver.com/embed/36955524?autoPlay=true",""
2975,13/06/23,"18:30","사직","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230613&gameId=20230613HHLT0&section=HIGHLIGHT","한화",5,"롯데",7,"롯데",2023,6,"경기일정","https://tv.naver.com/embed/36957381?autoPlay=true",""
2978,14/06/23,"18:30","잠실","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230614&gameId=20230614SSLG0&section=HIGHLIGHT","삼성",2,"LG",3,"LG",2023,6,"경기일정","https://tv.naver.com/embed/36997685?autoPlay=true",""
2979,14/06/23,"18:30","문학","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230614&gameId=20230614KTSK0&section=HIGHLIGHT","KT",14,"SSG",4,"KT",2023,6,"경기일정","https://tv.naver.com/embed/36997169?autoPlay=true",""
2983,15/06/23,"18:30","잠실","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230615&gameId=20230615SSLG0&section=HIGHLIGHT","삼성",3,"LG",9,"LG",2023,6,"경기일정","https://tv.naver.com/embed/37036225?autoPlay=true",""
2986,15/06/23,"18:30","창원","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230615&gameId=20230615OBNC0&section=HIGHLIGHT","두산",3,"NC",10,"NC",2023,6,"경기일정","https://tv.naver.com/embed/37037962?autoPlay=true",""
2989,16/06/23,"18:30","잠실","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230616&gameId=20230616OBLG0&section=HIGHLIGHT","두산",4,"LG",7,"LG",2023,6,"경기일정","https://tv.naver.com/embed/37078522?autoPlay=true",""
2992,16/06/23,"18:30","광주","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230616&gameId=20230616NCHT0&section=HIGHLIGHT","NC",11,"KIA",13,"KIA",2023,6,"경기일정","https://tv.naver.com/embed/37079220?autoPlay=true",""
2993,17/06/23,"17:00","한밭","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230617&gameId=20230617WOHH0&section=HIGHLIGHT","키움",9,"한화",6,"키움",2023,6,"경기일정","https://tv.naver.com/embed/37099509?autoPlay=true",""
2996,17/06/23,"17:00","수원","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230617&gameId=20230617SSKT0&section=HIGHLIGHT","삼성",5,"KT",6,"KT",2023,6,"경기일정","https://tv.naver.com/embed/37099091?autoPlay=true",""
3000,18/06/23,"17:00","문학","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230618&gameId=20230618LTSK0&section=HIGHLIGHT","롯데",7,"SSG",2,"롯데",2023,6,"경기일정","https://tv.naver.com/embed/37119972?autoPlay=true",""
3004,20/06/23,"18:30","잠실","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230620&gameId=20230620SKOB0&section=HIGHLIGHT","SSG",6,"두산",1,"SSG",2023,6,"경기일정","https://tv.naver.com/embed/37200575?autoPlay=true",""
3007,20/06/23,"18:30","수원","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230620&gameId=20230620LTKT0&section=HIGHLIGHT","롯데",2,"KT",5,"KT",2023,6,"경기일정","https://tv.naver.com/embed/37199842?autoPlay=true",""
3008,21/06/23,"18:30","한밭","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230621&gameId=20230621HTHH0&section=HIGHLIGHT","KIA",4,"한화",7,"한화",2023,6,"경기일정","https://tv.naver.com/embed/37238773?autoPlay=true",""
3010,21/06/23,"18:30","대구","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230621&gameId=20230621WOSS0&section=HIGHLIGHT","키움",2,"삼성",0,"키움",2023,6,"경기일정","https://tv.naver.com/embed/37238326?autoPlay=true",""
3013,22/06/23,"18:30","한밭","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230622&gameId=20230622HTHH0&section=HIGHLIGHT","KIA",0,"한화",1,"한화",2023,6,"경기일정","https://tv.naver.com/embed/37278671?autoPlay=true",""
