away_team_score,game_date,home_team_score,month,year,game_time,id,away_team,boardse,highlight_thumb,highlight_url,home_team,record_type,remarks,stadium,victory_team
2.0,2020-05-21,0.0,5,2020,18:30,123,LG,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200521&gameId=20200521LGSS0&section=HIGHLIGHT,,,삼성,경기일정,-,대구,LG
8.0,2020-05-21,9.0,5,2020,18:30,126,SK,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200521&gameId=20200521SKWO0&section=HIGHLIGHT,,,키움,경기일정,-,고척,키움
1.0,2020-05-21,6.0,5,2020,18:30,125,롯데,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200521&gameId=20200521LTHT0&section=HIGHLIGHT,,,KIA,경기일정,-,광주,KIA
9.0,2020-05-21,4.0,5,2020,18:30,124,한화,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200521&gameId=20200521HHKT0&section=HIGHLIGHT,,,KT,경기일정,-,수원,한화
5.0,2020-05-22,6.0,5,2020,18:30,127,KT,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200522&gameId=20200522KTLG0&section=HIGHLIGHT,,,LG,경기일정,-,잠실,LG
2.0,2020-05-22,1.0,5,2020,18:30,128,KIA,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200522&gameId=20200522HTSK0&section=HIGHLIGHT,,,SK,경기일정,-,문학,KIA
5.0,2020-05-22,3.0,5,2020,18:30,131,한화,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200522&gameId=20200522HHNC0&section=HIGHLIGHT,,,NC,경기일정,-,창원,한화
12.0,2020-05-22,7.0,5,2020,18:30,130,두산,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200522&gameId=20200522OBSS0&section=HIGHLIGHT,,,삼성,경기일정,-,대구,두산
7.0,2020-05-22,9.0,5,2020,18:30,129,키움,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200522&gameId=20200522WOLT0&section=HIGHLIGHT,,,롯데,경기일정,-,사직,롯데
6.0,2020-05-23,2.0,5,2020,14:00,132,KT,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200523&gameId=20200523KTLG0&section=HIGHLIGHT,,,LG,경기일정,-,잠실,KT
0.0,2020-05-23,3.0,5,2020,17:00,136,한화,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200523&gameId=20200523HHNC0&section=HIGHLIGHT,,,NC,경기일정,-,창원,NC
10.0,2020-05-23,6.0,5,2020,17:00,135,두산,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200523&gameId=20200523OBSS0&section=HIGHLIGHT,,,삼성,경기일정,-,대구,두산
8.0,2020-05-23,3.0,5,2020,17:00,133,KIA,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200523&gameId=20200523HTSK0&section=HIGHLIGHT,,,SK,경기일정,-,문학,KIA
12.0,2020-05-23,4.0,5,2020,17:00,134,키움,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200523&gameId=20200523WOLT0&section=HIGHLIGHT,,,롯데,경기일정,-,사직,키움
7.0,2020-05-24,9.0,5,2020,14:00,137,KT,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200524&gameId=20200524KTLG0&section=HIGHLIGHT,,,LG,경기일정,-,잠실,LG
3.0,2020-05-24,4.0,5,2020,14:00,138,KIA,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200524&gameId=20200524HTSK0&section=HIGHLIGHT,,,SK,경기일정,-,문학,SK
5.0,2020-05-24,10.0,5,2020,14:00,141,한화,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200524&gameId=20200524HHNC0&section=HIGHLIGHT,,,NC,경기일정,-,창원,NC
0.0,2020-05-24,13.0,5,2020,14:00,140,두산,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200524&gameId=20200524OBSS0&section=HIGHLIGHT,,,삼성,경기일정,-,대구,삼성
0.0,2020-05-24,2.0,5,2020,14:00,139,키움,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200524&gameId=20200524WOLT0&section=HIGHLIGHT,,,롯데,경기일정,-,사직,롯데
3.0,2020-05-26,0.0,5,2020,18:30,142,LG,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200526&gameId=20200526LGHH0&section=HIGHLIGHT,,,한화,경기일정,-,한밭,LG
4.0,2020-05-26,6.0,5,2020,18:30,143,SK,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200526&gameId=20200526SKOB0&section=HIGHLIGHT,,,두산,경기일정,-,잠실,두산
4.0,2020-05-26,1.0,5,2020,18:30,146,KIA,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200526&gameId=20200526HTKT0&section=HIGHLIGHT,,,KT,경기일정,-,수원,KIA
2.0,2020-05-26,7.0,5,2020,18:30,145,키움,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200526&gameId=20200526WONC0&section=HIGHLIGHT,,,NC,경기일정,-,창원,NC
0.0,2020-05-26,1.0,5,2020,18:30,144,삼성,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200526&gameId=20200526SSLT0&section=HIGHLIGHT,,,롯데,경기일정,-,사직,롯데
15.0,2020-05-27,4.0,5,2020,18:30,147,LG,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200527&gameId=20200527LGHH0&section=HIGHLIGHT,,,한화,경기일정,-,한밭,LG
2.0,2020-05-27,4.0,5,2020,18:30,148,SK,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200527&gameId=20200527SKOB0&section=HIGHLIGHT,,,두산,경기일정,-,잠실,두산
0.0,2020-05-27,5.0,5,2020,18:30,151,KIA,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200527&gameId=20200527HTKT0&section=HIGHLIGHT,,,KT,경기일정,-,수원,KT
3.0,2020-05-27,10.0,5,2020,18:30,150,키움,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200527&gameId=20200527WONC0&section=HIGHLIGHT,,,NC,경기일정,-,창원,NC
